kernel,matrix_size,block_size,threads_per_block,reg_cap,est_regs,actual_regs,theor_occ,time_ms_mean,time_ms_std,time_ms_min,time_ms_max
softmax,512,256,256,64,33,33,1.0,0.4713813364505768,0.10009510120862182,0.3399679958820343,0.5826560258865356
softmax,1024,64,64,default,27,33,0.6666666666666666,1.7012053330739338,0.1868387485526018,1.5032320022583008,1.9517439603805542
softmax,1024,64,64,32,27,32,0.6666666666666666,1.7916586796442668,0.13065623981166197,1.6936960220336914,1.9763200283050537
softmax,1024,64,64,64,27,33,0.6666666666666666,1.6858453353246052,0.07865638702778564,1.6179200410842896,1.7960959672927856
softmax,1024,128,128,default,29,33,1.0,1.0092373490333557,0.05256603345401091,0.9418240189552307,1.070080041885376
softmax,1024,128,128,32,29,32,1.0,0.9441173275311788,0.05502850026110059,0.8663039803504944,0.9840319752693176
softmax,1024,128,128,64,29,33,1.0,0.944096028804779,0.07920778565854471,0.8407040238380432,1.033120036125183
softmax,1024,256,256,default,33,33,1.0,1.4697813193003337,0.19622599501815421,1.265663981437683,1.7346559762954712
softmax,1024,256,256,32,33,32,1.0,1.624010682106018,0.11650969973334943,1.4764480590820312,1.7612799406051636
softmax,1024,256,256,64,33,33,1.0,1.6343040068944295,0.1141412025171147,1.4827519655227661,1.7582080364227295
