episode_id,episode_seed,kernel,matrix_size,max_steps,use_cupti,use_nvml,baseline_ms,mean_time_ms,mean_reward,best_speedup,best_reward,steps
27,27,reduction,1024,20,False,True,0.31969280242919923,0.3078246405720711,0.044766175729671155,1.1649253671372148,0.16492536713721484,20
28,28,reduction,1024,20,False,True,0.32071680426597593,0.3476070395112038,-0.07281906214936563,1.0208605217311322,0.020860521731132176,20
29,29,reduction,1024,20,False,True,0.3926015913486481,0.40958975791931146,-0.038321681789775,1.1068129059087446,0.1068129059087446,20
30,30,softmax,256,20,False,True,0.36823039650917055,0.43044863909482955,-0.11238143154580107,1.130106835020831,0.13010683502083098,20
31,31,softmax,256,20,False,True,0.4315136015415192,0.49823743969202033,-0.08266476224508167,1.2005698214998208,0.20056982149982083,20
32,32,softmax,256,20,False,True,0.43397119641304016,0.4827648022770882,-0.05923170373840869,1.4563573857591134,0.45635738575911344,20
33,33,softmax,256,20,False,True,0.35573760271072385,0.3759820809960366,-0.026882554636025284,1.2275618667744268,0.2275618667744268,20
34,34,softmax,256,20,False,True,0.35573760271072385,0.3503411212563515,0.05100895740671681,1.2838137573397903,0.2838137573397903,20
35,35,softmax,512,20,False,True,1.8010112285614013,1.1722752010822295,0.6302219168284497,2.213440768686886,1.213440768686886,20
36,36,softmax,512,20,False,True,1.2824575901031494,1.034547201991081,0.27072852004398307,1.7922151802911461,0.7922151802911461,20
37,37,softmax,512,20,False,True,1.2498943567276002,0.8505753618478774,0.5119377472873115,2.029597560318875,1.0295975603188752,20
38,38,softmax,512,20,False,True,0.9228287935256958,0.6466662430763245,0.5500019734139754,2.1810261365500176,1.1810261365500176,20
39,39,softmax,512,20,False,True,0.5920768022537232,0.5873561590909959,0.061796169457308744,1.4020368729444186,0.4020368729444186,20
40,40,softmax,1024,20,False,True,2.02772479057312,2.1272063970565793,0.005355996114678502,1.4118066451220577,0.41180664512205767,20
41,41,softmax,1024,20,False,True,2.0342783451080324,2.131845108270645,0.01667869435709904,1.4157639321604647,0.4157639321604647,20
42,42,softmax,1024,20,False,True,4.129177570343018,1.999175684452057,1.2256886336220734,3.0218824510952706,2.0218824510952706,20
43,43,softmax,1024,20,False,True,1.9396607875823975,1.9290316832065582,0.07150513878570888,1.4517167361105003,0.45171673611050034,20
44,44,softmax,1024,20,False,True,1.8956288337707519,1.8956595253944393,0.05898297174170388,1.4163733882378984,0.4163733882378984,20
